Wall time,Step,Value
1771618881.0749006,20000,-1506.238037109375
1771619173.6614232,60000,-1418.1910400390625
1771619202.9817746,64000,-1433.3548583984375
1771619291.383692,76000,-1431.8428955078125
1771619320.881638,80000,-1436.4892578125
1771619409.3066466,92000,-1440.9764404296875
1771619531.5683753,108000,-1445.406982421875
1771619562.5238855,112000,-1430.108642578125
1771619952.3642013,164000,-1372.7987060546875
1771620168.9588478,192000,-1385.7467041015625
1771620200.6041338,196000,-1392.2142333984375
1771620231.1747413,200000,-1376.5062255859375
1771620386.5618138,220000,-1363.642578125
1771620638.086354,252000,-1361.15380859375
1771620671.6888704,256000,-1352.20361328125
1771620765.0102265,268000,-1344.9228515625
1771620796.8015456,272000,-1331.7568359375
1771620893.8461368,284000,-1356.9588623046875
1771620926.0428238,288000,-1348.887939453125
1771621116.1371398,312000,-1324.69677734375
1771621281.8738391,332000,-1300.6273193359375
1771621513.4041634,360000,-1337.438232421875
1771621842.969887,400000,-1278.7872314453125
1771621976.2288196,416000,-1327.712158203125
1771622078.1488342,428000,-1275.3787841796875
1771622111.023052,432000,-1263.8973388671875
1771622413.6953676,468000,-1238.4700927734375
1771622582.3824358,488000,-1206.591552734375
1771622718.264801,504000,-1237.514404296875
1771622752.7082705,508000,-1238.2099609375
1771622820.519193,516000,-1243.6888427734375
1771622887.3906257,524000,-1245.304443359375
1771623095.3948693,548000,-1200.712158203125
1771623129.1024354,552000,-1233.5035400390625
1771623371.4305396,580000,-1239.441650390625
1771623439.2238896,588000,-1238.6595458984375
1771623474.5036843,592000,-1254.8826904296875
1771623578.7921078,604000,-1215.8736572265625
1771623821.3466816,632000,-1259.3724365234375
1771623926.5285895,644000,-1217.4610595703125
1771623999.4609563,652000,-1183.8349609375
1771624069.0035257,660000,-1192.634521484375
1771624318.1921616,688000,-1196.431640625
1771624354.3344715,692000,-1199.3873291015625
1771624531.7352183,712000,-1210.169921875
1771624783.4426,740000,-1185.796142578125
1771624818.5461576,744000,-1183.379638671875
1771624854.8396504,748000,-1189.6912841796875
1771624998.5567398,764000,-1220.7628173828125
1771625037.5264938,768000,-1219.136962890625
1771625072.8565798,772000,-1202.6995849609375
1771625326.109644,800000,-1198.754638671875
1771625436.7801354,812000,-1167.414306640625
1771625472.5911727,816000,-1167.845947265625
1771625511.0227537,820000,-1143.564453125
1771625547.6553056,824000,-1134.6895751953125
1771625619.2868648,832000,-1179.4542236328125
1771625764.1807206,848000,-1183.8592529296875
1771625836.8692722,856000,-1188.30322265625
1771625912.2995493,864000,-1178.7008056640625
1771626092.9366934,884000,-1159.7607421875
1771626127.6498306,888000,-1155.3818359375
1771626236.4273741,900000,-1155.504638671875
1771626422.4698281,920000,-1119.9901123046875
1771626983.4612226,980000,-1115.8502197265625
1771627022.5382478,984000,-1132.2274169921875
1771627058.668925,988000,-1156.1575927734375
1771627508.6111567,1036000,-1100.9111328125
1771627547.003024,1040000,-1115.4140625
1771627582.4700544,1044000,-1131.5428466796875
1771627989.4144597,1088000,-1117.3017578125
1771628102.49124,1100000,-1107.7916259765625
1771628176.8942568,1108000,-1104.7156982421875
1771628251.5656366,1116000,-1150.0069580078125
1771628400.917193,1132000,-1088.227783203125
1771628514.2887793,1144000,-1103.347900390625
1771628628.8488467,1156000,-1091.83984375
1771628702.6866236,1164000,-1100.1654052734375
1771628892.1488647,1184000,-1053.925048828125
1771628966.3320284,1192000,-1063.754638671875
1771629002.2554476,1196000,-1077.376708984375
1771629300.5519,1228000,-1084.7237548828125
1771629376.157327,1236000,-1074.5643310546875
1771629526.3374496,1252000,-1111.7078857421875
1771629677.0292087,1268000,-1077.8193359375
1771629751.8894155,1276000,-1108.36962890625
1771629788.236095,1280000,-1116.9886474609375
1771629899.700475,1292000,-1084.97314453125
1771630463.2272987,1352000,-1061.6707763671875
1771630500.674974,1356000,-1075.3577880859375
1771630688.093858,1376000,-1017.2399291992188
1771630761.9255579,1384000,-1005.6046752929688
1771630799.04666,1388000,-1006.5125122070312
1771631020.4599419,1412000,-994.8637084960938
1771631097.6757388,1420000,-1012.875
1771631247.3625562,1436000,-1000.208984375
1771631473.9553585,1460000,-1022.1309204101562
1771631509.5034926,1464000,-1003.8489990234375
1771631545.5384183,1468000,-979.290771484375
1771631581.9863095,1472000,-970.7830810546875
1771631998.2854104,1516000,-986.3225708007812
1771632299.7131832,1548000,-974.9166870117188
1771632451.0334299,1564000,-962.7941284179688
1771632525.1308815,1572000,-980.3986206054688
1771632714.5081527,1592000,-910.67431640625
1771632897.295591,1612000,-927.986572265625
1771632973.9102554,1620000,-946.4727172851562
1771633390.807146,1664000,-917.6943969726562
1771633617.8347483,1688000,-935.518310546875
1771633655.2312746,1692000,-939.0552978515625
1771633806.2158542,1708000,-916.493896484375
1771634183.794588,1748000,-894.2930908203125
1771634223.9601243,1752000,-885.5512084960938
1771634296.6825233,1760000,-914.6953125
1771634446.9564989,1776000,-918.3394165039062
1771634482.9476538,1780000,-921.9782104492188
1771634559.7240915,1788000,-911.4257202148438
1771634709.9509714,1804000,-884.3641967773438
1771634786.580716,1812000,-886.4583740234375
1771634936.922847,1828000,-894.4296875
1771635124.015944,1848000,-873.8240966796875
1771635273.5947373,1864000,-892.994384765625
1771635387.4439452,1876000,-922.3859252929688
1771635462.3511982,1884000,-901.4288940429688
1771635611.959666,1900000,-889.1439208984375
1771635651.820433,1904000,-895.167724609375
1771635838.0102546,1924000,-864.3023071289062
1771635877.231672,1928000,-878.8560791015625
1771636102.5346127,1952000,-863.5311279296875
1771636176.2409818,1960000,-875.281982421875
1771636365.885952,1980000,-861.2319946289062
