trans_idx,has_right_lane,has_left_lane,driving_in_weaving,dist_to_onramp,dist_to_offramp,leader_gap,leader_relatif_s,follower_gap,follower_relatif_s,left_leader_gap,left_leader_relatif_s,left_follower_gap,left_follower_relatif_s,right_leader_gap,right_leader_relatif_s,right_follower_gap,right_follower_relatif_s,action,reward,done,next_has_right_lane,next_has_left_lane,next_driving_in_weaving,next_dist_to_onramp,next_dist_to_offramp,next_leader_gap,next_leader_relatif_s,next_follower_gap,next_follower_relatif_s,next_left_leader_gap,next_left_leader_relatif_s,next_left_follower_gap,next_left_follower_relatif_s,next_right_leader_gap,next_right_leader_relatif_s,next_right_follower_gap,next_right_follower_relatif_s
9991386,1.0,0.0,0.0,-2.0,-2.0,0.51,0.09,0.39,0.0,-2.0,-2.0,-2.0,-2.0,-0.05,0.04,0.45,0.05,1,-0.19,False,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0.38,-0.02,-2.0,-2.0,-2.0,-2.0,-0.05,-0.0,0.46,0.01
9991390,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0.38,-0.02,-2.0,-2.0,-2.0,-2.0,-0.05,-0.0,0.46,0.01,1,-0.16,False,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,0.38,0.01,-2.0,-2.0,-2.0,-2.0,0.47,0.06,-0.05,0.01
9991405,1.0,1.0,1.0,-2.0,-2.0,0.66,0.03,0.53,-0.0,0.6,0.02,0.25,-0.13,0.93,0.03,0.64,-0.01,2,-1.16,False,1.0,0.0,1.0,-2.0,-2.0,0.59,0.02,0.21,-0.12,-2.0,-2.0,-2.0,-2.0,0.65,0.03,0.53,-0.0
9991413,1.0,0.0,1.0,-2.0,-2.0,0.59,0.02,0.23,0.05,-2.0,-2.0,-2.0,-2.0,0.64,0.03,0.52,-0.02,1,-0.16,False,1.0,0.0,1.0,-2.0,-2.0,0.58,0.01,0.25,0.06,-2.0,-2.0,-2.0,-2.0,0.63,0.03,0.54,0.05
9991417,1.0,0.0,1.0,-2.0,-2.0,0.58,0.01,0.25,0.06,-2.0,-2.0,-2.0,-2.0,0.63,0.03,0.54,0.05,1,-0.16,False,1.0,0.0,1.0,-2.0,-2.0,0.58,0.01,0.27,0.06,-2.0,-2.0,-2.0,-2.0,0.62,0.02,0.56,0.06
9991421,1.0,0.0,1.0,-2.0,-2.0,0.58,0.01,0.27,0.06,-2.0,-2.0,-2.0,-2.0,0.62,0.02,0.56,0.06,1,-0.16,False,1.0,0.0,1.0,-2.0,-2.0,0.57,0.01,0.29,0.05,-2.0,-2.0,-2.0,-2.0,0.62,0.02,0.57,0.03
9991425,1.0,0.0,1.0,-2.0,-2.0,0.57,0.01,0.29,0.05,-2.0,-2.0,-2.0,-2.0,0.62,0.02,0.57,0.03,1,-0.17,False,1.0,0.0,1.0,-2.0,-2.0,0.57,0.01,0.3,0.04,-2.0,-2.0,-2.0,-2.0,0.61,0.02,0.59,0.05
9991429,1.0,0.0,1.0,-2.0,-2.0,0.57,0.01,0.3,0.04,-2.0,-2.0,-2.0,-2.0,0.61,0.02,0.59,0.05,1,-0.17,False,1.0,0.0,1.0,-2.0,-2.0,0.57,0.01,0.31,0.04,-2.0,-2.0,-2.0,-2.0,0.6,0.02,0.59,0.02
9991433,1.0,0.0,1.0,-2.0,-2.0,0.57,0.01,0.31,0.04,-2.0,-2.0,-2.0,-2.0,0.6,0.02,0.59,0.02,1,-0.17,False,1.0,0.0,1.0,-2.0,0.76,0.56,0.01,0.32,0.03,-2.0,-2.0,-2.0,-2.0,0.6,0.02,0.6,0.04
9991437,1.0,0.0,1.0,-2.0,0.76,0.56,0.01,0.32,0.03,-2.0,-2.0,-2.0,-2.0,0.6,0.02,0.6,0.04,1,-0.17,False,1.0,0.0,1.0,-2.0,0.48,0.56,0.01,0.33,0.02,-2.0,-2.0,-2.0,-2.0,0.59,0.02,0.6,0.0
9991441,1.0,0.0,1.0,-2.0,0.48,0.56,0.01,0.33,0.02,-2.0,-2.0,-2.0,-2.0,0.59,0.02,0.6,0.0,1,-0.17,False,1.0,0.0,1.0,-2.0,0.2,0.55,0.01,0.34,0.02,-2.0,-2.0,-2.0,-2.0,0.58,0.02,0.61,0.02
9991445,1.0,0.0,1.0,-2.0,0.2,0.55,0.01,0.34,0.02,-2.0,-2.0,-2.0,-2.0,0.58,0.02,0.61,0.02,1,-0.17,False,1.0,0.0,0.0,-2.0,-0.07,0.55,0.01,0.34,0.02,-2.0,-2.0,-2.0,-2.0,0.58,0.02,0.61,-0.0
9991449,1.0,0.0,0.0,-2.0,-0.07,0.55,0.01,0.34,0.02,-2.0,-2.0,-2.0,-2.0,0.58,0.02,0.61,-0.0,1,-0.17,False,1.0,0.0,0.0,-2.0,-0.35,0.55,0.01,0.35,0.01,-2.0,-2.0,-2.0,-2.0,0.57,0.02,0.62,0.02
9991453,1.0,0.0,0.0,-2.0,-0.35,0.55,0.01,0.35,0.01,-2.0,-2.0,-2.0,-2.0,0.57,0.02,0.62,0.02,1,-0.17,False,1.0,0.0,0.0,-2.0,-2.0,0.54,0.01,0.35,0.01,-2.0,-2.0,-2.0,-2.0,0.57,0.01,0.61,-0.01
9991457,1.0,0.0,0.0,-2.0,-2.0,0.54,0.01,0.35,0.01,-2.0,-2.0,-2.0,-2.0,0.57,0.01,0.61,-0.01,1,-0.17,False,1.0,0.0,0.0,-2.0,-2.0,0.54,0.01,0.36,0.01,-2.0,-2.0,-2.0,-2.0,0.57,0.01,0.62,0.01
9991465,1.0,0.0,0.0,-2.0,-2.0,0.54,0.01,0.36,0.01,-2.0,-2.0,-2.0,-2.0,0.56,0.01,0.61,-0.01,0,-1.17,False,1.0,1.0,0.0,-2.0,-2.0,0.56,0.01,0.61,0.01,0.53,0.01,0.36,0.01,0.82,0.01,0.72,-0.02
9991469,1.0,1.0,0.0,-2.0,-2.0,0.56,0.01,0.61,0.01,0.53,0.01,0.36,0.01,0.82,0.01,0.72,-0.02,2,-1.17,False,1.0,0.0,0.0,-2.0,-2.0,0.53,0.01,0.35,-0.03,-2.0,-2.0,-2.0,-2.0,0.55,0.01,0.61,-0.0
9991473,1.0,0.0,0.0,-2.0,-2.0,0.53,0.01,0.35,-0.03,-2.0,-2.0,-2.0,-2.0,0.55,0.01,0.61,-0.0,1,-0.17,False,1.0,0.0,0.0,-2.0,-2.0,0.53,0.01,0.35,0.0,-2.0,-2.0,-2.0,-2.0,0.55,0.01,0.6,-0.03
9991477,1.0,0.0,0.0,-2.0,-2.0,0.53,0.01,0.35,0.0,-2.0,-2.0,-2.0,-2.0,0.55,0.01,0.6,-0.03,1,-0.18,False,1.0,0.0,0.0,-2.0,-2.0,0.52,0.01,0.35,0.01,-2.0,-2.0,-2.0,-2.0,0.55,0.01,0.6,0.0
9991480,1.0,0.0,0.0,-2.0,-2.0,0.46,0.0,0.37,0.0,-2.0,-2.0,-2.0,-2.0,-0.04,-0.01,0.78,0.0,0,-50.0,False,1.0,1.0,0.0,-2.0,-2.0,-0.03,-0.0,0.77,-0.03,0.46,0.0,0.37,-0.0,0.21,-0.0,0.46,-0.01
9991481,1.0,0.0,0.0,-2.0,-2.0,0.52,0.01,0.35,0.01,-2.0,-2.0,-2.0,-2.0,0.55,0.01,0.6,0.0,1,-0.18,False,1.0,0.0,0.0,-2.0,-2.0,0.52,0.01,0.35,0.01,-2.0,-2.0,-2.0,-2.0,0.54,0.01,0.61,0.0
9991484,1.0,1.0,0.0,-2.0,-2.0,-0.03,-0.0,0.77,-0.03,0.46,0.0,0.37,-0.0,0.21,-0.0,0.46,-0.01,2,-1.43,False,1.0,0.0,0.0,-2.0,-2.0,0.55,-0.26,0.27,-0.31,-2.0,-2.0,-2.0,-2.0,0.06,-0.27,0.68,-0.27
9991485,1.0,0.0,0.0,-2.0,-2.0,0.52,0.01,0.35,0.01,-2.0,-2.0,-2.0,-2.0,0.54,0.01,0.61,0.0,1,-0.18,False,1.0,0.0,0.0,-2.0,-2.0,0.52,0.01,0.36,0.01,-2.0,-2.0,-2.0,-2.0,0.54,0.01,0.61,0.01
9991488,1.0,0.0,0.0,-2.0,-2.0,0.55,-0.26,0.27,-0.31,-2.0,-2.0,-2.0,-2.0,0.06,-0.27,0.68,-0.27,1,-0.37,False,1.0,0.0,0.0,-2.0,-2.0,0.12,-0.2,0.27,0.0,-2.0,-2.0,-2.0,-2.0,0.83,-0.18,0.6,-0.24
9991489,1.0,0.0,0.0,-2.0,-2.0,0.52,0.01,0.36,0.01,-2.0,-2.0,-2.0,-2.0,0.54,0.01,0.61,0.01,1,-0.18,False,1.0,0.0,0.0,-2.0,-2.0,0.52,0.01,0.36,0.01,-2.0,-2.0,-2.0,-2.0,0.54,0.01,0.61,0.01
9991492,1.0,0.0,0.0,-2.0,-2.0,0.12,-0.2,0.27,0.0,-2.0,-2.0,-2.0,-2.0,0.83,-0.18,0.6,-0.24,1,-0.32,False,1.0,0.0,0.0,-2.0,-2.0,0.17,-0.15,0.28,0.04,-2.0,-2.0,-2.0,-2.0,0.42,-0.15,0.58,-0.06
9991493,1.0,0.0,0.0,-2.0,-2.0,0.52,0.01,0.36,0.01,-2.0,-2.0,-2.0,-2.0,0.54,0.01,0.61,0.01,1,-0.18,False,1.0,0.0,0.0,-2.0,-2.0,0.51,0.01,0.36,0.0,-2.0,-2.0,-2.0,-2.0,0.53,0.01,0.61,0.0
9991496,1.0,0.0,0.0,-2.0,-2.0,0.17,-0.15,0.28,0.04,-2.0,-2.0,-2.0,-2.0,0.42,-0.15,0.58,-0.06,1,-0.29,False,1.0,0.0,0.0,-2.0,-2.0,0.69,-0.11,0.3,0.04,-2.0,-2.0,-2.0,-2.0,0.21,-0.12,0.6,0.05
9991497,1.0,0.0,0.0,-2.0,-2.0,0.51,0.01,0.36,0.0,-2.0,-2.0,-2.0,-2.0,0.53,0.01,0.61,0.0,1,-0.18,False,1.0,0.0,0.0,-2.0,-2.0,0.51,0.01,0.36,0.0,-2.0,-2.0,-2.0,-2.0,0.53,0.01,0.6,-0.02
9991500,1.0,0.0,0.0,-2.0,-2.0,0.69,-0.11,0.3,0.04,-2.0,-2.0,-2.0,-2.0,0.21,-0.12,0.6,0.05,1,-0.24,False,1.0,0.0,0.0,-2.0,-2.0,0.71,-0.06,0.32,0.07,-2.0,-2.0,-2.0,-2.0,0.24,-0.08,0.61,0.03
9991501,1.0,0.0,0.0,-2.0,-2.0,0.51,0.01,0.36,0.0,-2.0,-2.0,-2.0,-2.0,0.53,0.01,0.6,-0.02,1,-0.18,False,1.0,0.0,0.0,-2.0,-2.0,0.51,0.01,0.36,0.0,-2.0,-2.0,-2.0,-2.0,0.53,0.01,0.61,0.0
9991504,1.0,0.0,0.0,-2.0,-2.0,0.71,-0.06,0.32,0.07,-2.0,-2.0,-2.0,-2.0,0.24,-0.08,0.61,0.03,1,-0.21,False,1.0,0.0,0.0,-2.0,-2.0,0.72,-0.02,0.34,0.07,-2.0,-2.0,-2.0,-2.0,0.25,-0.03,0.64,0.1
