occurrences,num_state-action
1,6551282
2,334433
3,116897
4,60157
5,35859
6,23945
7,17243
8,13155
9,10214
10,8179
11,6860
12,5777
13,4794
14,4295
15,3697
16,3301
17,3022
18,2774
19,2566
20,2228
21,2053
22,1898
23,1708
24,1671
25,1516
26,1459
27,1362
28,1194
29,1169
30,1125
31,1096
32,992
33,968
34,900
35,812
36,782
37,702
38,748
39,716
40,705
41,655
42,606
43,577
44,557
45,515
46,462
47,483
48,489
49,425
50,410
51,391
52,390
53,361
54,330
55,289
56,312
57,273
58,271
59,270
60,272
61,244
62,244
63,252
64,237
65,224
66,235
67,199
68,187
69,182
70,184
71,184
72,163
73,165
74,172
75,145
76,151
77,165
78,130
79,123
80,139
81,141
82,130
83,147
84,119
85,125
86,122
87,128
88,127
89,120
90,97
91,118
92,106
93,125
94,100
95,100
96,115
97,103
98,96
99,90
100,102
101,79
102,72
103,83
104,74
105,82
106,87
107,86
108,85
109,76
110,70
111,75
112,54
113,60
114,86
115,64
116,62
117,63
118,70
119,66
120,64
121,60
122,56
123,53
124,47
125,43
126,47
127,59
128,63
129,56
130,45
131,47
132,46
133,40
134,60
135,55
136,55
137,33
138,54
139,43
140,49
141,41
142,44
143,37
144,45
145,47
146,35
147,45
148,42
149,35
150,34
151,29
152,33
153,33
154,27
155,35
156,30
157,39
158,32
159,50
160,33
161,34
162,36
163,32
164,33
165,36
166,40
167,38
168,30
169,27
170,43
171,29
172,29
173,28
174,27
175,24
176,22
177,29
178,29
179,28
180,24
181,27
182,26
183,26
184,33
185,19
186,26
187,22
188,22
189,21
190,21
191,23
192,16
193,27
194,17
195,27
196,19
197,24
198,19
199,21
200,25
201,15
202,30
203,20
204,26
205,18
206,16
207,20
208,21
209,12
210,18
211,24
212,16
213,19
214,20
215,21
216,20
217,15
218,15
219,16
220,14
221,14
222,26
223,16
224,16
225,19
226,15
227,13
228,20
229,10
230,14
231,20
232,18
233,12
234,16
235,14
236,15
237,15
238,14
239,14
240,15
241,19
242,18
243,17
244,16
245,15
246,15
247,11
248,17
249,16
250,13
251,14
252,14
253,10
254,10
255,12
256,5
257,13
258,12
259,14
260,10
261,13
262,11
263,9
264,11
265,9
266,16
267,8
268,6
269,7
270,12
271,10
272,12
273,10
274,7
275,6
276,5
277,9
278,12
279,7
280,8
281,9
282,8
283,13
284,9
285,6
286,12
287,5
288,8
289,6
290,5
291,10
292,11
293,10
294,13
295,5
296,9
297,10
298,16
299,9
300,13
301,10
302,9
303,8
304,12
305,13
306,9
307,8
308,9
309,6
310,2
311,7
312,8
313,11
314,15
315,13
316,6
317,5
318,17
319,8
320,6
321,9
322,5
323,12
324,6
325,10
326,12
327,7
328,13
329,6
330,5
331,10
332,10
333,16
334,16
335,7
336,9
337,9
338,4
339,5
340,12
341,8
342,5
343,8
344,9
345,11
346,5
347,10
348,9
349,10
350,5
351,16
352,2
353,13
354,7
355,4
356,9
357,9
358,11
359,7
360,5
361,5
362,5
363,7
364,8
365,4
366,10
367,9
368,9
369,8
370,8
371,9
372,6
373,5
374,9
375,5
376,4
377,11
378,4
379,8
380,7
381,6
382,7
383,5
384,14
385,4
386,6
387,6
388,4
389,3
390,3
391,5
392,4
393,8
394,5
395,7
396,4
397,6
398,1
399,7
400,3
401,3
402,3
403,4
404,1
405,7
406,8
407,8
408,5
409,4
410,3
411,1
412,4
413,6
414,2
415,6
416,3
417,5
418,3
419,6
420,2
421,4
422,5
423,4
424,3
425,2
426,3
427,4
428,7
429,1
430,4
431,1
432,2
433,2
434,6
435,2
436,13
437,4
438,3
439,2
440,2
441,4
442,4
443,4
444,4
445,3
446,1
447,2
448,4
449,4
450,5
451,5
452,3
453,1
454,4
455,8
456,6
457,6
458,5
459,6
460,3
461,3
463,4
464,4
465,1
466,5
467,1
468,3
469,8
470,5
471,3
472,2
473,2
474,2
475,4
476,5
477,2
478,6
479,3
480,2
481,2
482,3
483,4
484,2
485,2
488,1
489,3
490,5
491,1
492,2
493,4
494,4
495,4
496,2
497,3
498,5
499,6
500,4
502,2
503,1
504,1
505,1
506,5
507,3
508,4
509,2
510,2
511,5
512,1
513,2
514,3
515,2
516,2
517,1
518,2
519,2
520,3
521,2
522,1
524,8
525,2
526,1
527,4
529,3
530,3
531,7
532,4
533,2
534,1
537,4
538,2
539,3
540,1
541,2
544,4
545,3
546,1
547,2
548,2
549,2
550,1
551,2
552,4
553,2
554,2
555,5
556,4
557,3
558,5
559,5
561,3
562,1
563,5
564,4
565,4
566,2
567,1
568,2
569,4
570,2
571,2
572,3
574,2
575,1
576,4
577,2
578,1
579,3
580,1
581,5
582,4
583,1
586,3
587,1
588,1
589,2
590,1
591,2
592,5
593,2
595,2
597,5
598,1
600,1
601,2
602,1
603,3
604,1
605,2
606,1
607,3
608,2
609,2
610,4
611,1
613,1
614,1
615,2
616,1
618,2
619,2
620,1
621,1
622,1
623,1
628,2
630,3
632,2
634,1
635,4
636,2
637,1
639,1
640,4
641,2
642,2
643,1
644,2
645,3
646,2
649,1
651,3
652,1
653,2
655,1
656,3
657,2
658,1
659,2
660,1
661,2
662,3
665,1
666,2
667,5
668,1
669,3
670,1
671,2
672,2
674,2
677,2
678,1
679,3
680,4
681,1
683,1
685,2
686,2
687,2
688,2
689,2
691,3
695,5
696,2
697,4
698,3
700,2
701,2
702,2
703,2
705,1
706,1
707,1
708,2
709,1
710,1
711,1
712,1
714,4
715,2
716,1
717,2
719,1
720,3
722,4
723,3
724,4
725,2
726,2
728,4
729,1
731,2
732,2
734,2
735,1
737,1
738,2
739,1
740,1
741,2
742,1
744,2
745,1
746,2
749,1
751,1
752,1
754,2
755,1
756,4
758,1
759,5
760,3
761,1
762,3
763,1
764,3
766,1
767,3
768,2
769,1
770,2
771,3
772,2
773,1
774,3
777,1
778,3
779,1
780,3
781,1
783,3
785,1
786,2
788,1
791,1
793,1
794,1
796,1
800,2
801,1
803,1
804,1
806,1
807,2
812,1
813,1
814,2
815,2
820,2
821,1
822,1
824,2
826,1
827,1
828,1
830,1
832,2
833,1
836,2
838,2
840,2
845,1
846,1
847,1
849,1
851,2
852,1
854,2
855,1
857,1
860,1
861,1
862,1
863,1
864,2
868,1
869,1
870,1
872,1
874,1
876,1
882,1
883,1
885,1
887,1
890,1
893,2
894,2
896,1
897,1
898,2
899,1
903,1
905,2
908,1
912,2
913,2
914,1
915,3
919,2
920,1
921,1
922,1
923,2
924,2
927,1
930,2
933,1
934,1
936,1
938,2
940,1
943,1
944,2
946,1
947,3
948,1
949,1
950,2
951,1
953,1
954,3
955,2
957,1
959,1
960,2
962,1
965,3
967,1
970,1
971,1
973,3
976,2
979,5
980,1
981,1
982,1
983,1
984,1
985,3
986,3
987,1
988,1
989,2
993,2
994,2
995,1
996,2
1001,2
1002,1
1003,1
1004,2
1006,1
1008,2
1009,1
1010,1
1011,2
1012,1
1013,1
1015,1
1017,1
1019,1
1020,1
1021,1
1022,1
1023,1
1025,1
1026,2
1027,1
1029,1
1030,1
1031,4
1034,1
1035,1
1036,2
1037,1
1039,1
1040,1
1041,1
1044,1
1045,1
1046,1
1048,1
1049,2
1054,1
1055,2
1056,2
1057,1
1060,1
1061,1
1062,1
1063,1
1065,1
1066,1
1069,1
1074,1
1075,1
1076,3
1077,2
1084,1
1085,1
1086,3
1089,2
1090,1
1091,1
1097,1
1100,1
1101,1
1102,1
1103,1
1104,1
1105,1
1110,1
1119,1
1121,2
1124,1
1127,1
1130,1
1132,1
1133,2
1134,1
1135,1
1138,1
1144,1
1148,1
1150,2
1151,2
1154,1
1157,1
1158,1
1159,1
1162,2
1163,1
1164,1
1165,1
1168,1
1170,1
1171,1
1172,1
1174,1
1176,1
1179,1
1182,2
1183,1
1184,1
1185,2
1187,1
1189,1
1190,2
1197,1
1200,1
1202,1
1203,1
1205,2
1208,1
1210,1
1211,1
1212,1
1214,1
1217,1
1223,2
1225,1
1227,1
1228,2
1229,2
1232,1
1233,1
1235,1
1236,1
1238,1
1240,1
1241,1
1244,1
1251,1
1253,2
1254,1
1255,2
1256,1
1257,1
1258,1
1259,1
1260,1
1262,1
1266,1
1268,1
1272,1
1274,1
1276,1
1277,2
1280,1
1283,2
1284,1
1287,1
1289,1
1295,1
1297,1
1300,1
1302,1
1304,2
1306,1
1307,1
1311,2
1312,2
1316,2
1317,1
1319,1
1321,1
1323,1
1330,1
1332,1
1333,1
1335,1
1339,2
1341,1
1348,1
1349,1
1352,4
1355,1
1356,2
1359,1
1360,1
1365,1
1367,1
1369,2
1370,1
1373,1
1374,1
1377,1
1382,1
1384,2
1386,1
1390,3
1393,1
1397,1
1398,1
1400,1
1402,1
1407,1
1408,1
1410,1
1414,1
1415,2
1416,1
1420,2
1422,3
1429,2
1430,1
1431,2
1436,1
1437,1
1438,1
1439,1
1441,1
1444,3
1445,1
1447,1
1448,1
1451,3
1455,1
1458,1
1462,1
1465,1
1466,1
1467,1
1469,1
1471,2
1474,1
1477,2
1478,2
