occurrences,num_state-action
1,6864435
2,264947
3,67613
4,26742
5,12689
6,7023
7,4119
8,2814
9,1699
10,1154
11,825
12,575
13,444
14,331
15,263
16,230
17,159
18,140
19,104
20,95
21,88
22,56
23,66
24,59
25,49
26,31
27,32
28,37
29,28
30,37
31,32
32,27
33,14
34,16
35,23
36,11
37,14
38,13
39,19
40,17
41,8
42,12
43,8
44,4
45,9
46,8
47,5
48,9
49,3
50,4
51,4
52,6
53,3
55,4
56,2
57,2
58,3
59,2
60,2
61,5
62,3
63,5
64,2
65,2
66,4
67,5
68,5
69,3
71,2
73,7
74,2
75,2
76,2
77,3
79,3
80,1
81,4
82,4
83,3
84,2
86,1
87,1
88,3
89,1
91,1
92,1
93,1
95,1
97,1
99,2
100,1
101,2
103,2
104,1
105,2
106,1
107,2
108,1
109,1
111,1
114,1
115,1
118,1
120,2
121,1
122,1
123,1
126,1
127,1
128,1
129,1
137,1
141,1
144,1
145,1
151,2
154,1
160,1
162,1
165,1
167,2
168,1
176,1
191,1
204,2
205,1
206,1
210,1
211,1
213,1
222,1
249,1
257,1
274,1
275,1
294,1
310,1
312,1
325,1
365,1
423,1
434,1
506,1
550,1
562,1
851,1
1546,1
1737,1
2807,1
3012,1
3240,1
