occurrences,num_states
1,6220398
2,334521
3,118578
4,61591
5,36654
6,24806
7,17794
8,13599
9,10506
10,8305
11,6996
12,6058
13,4936
14,4438
15,3814
16,3431
17,3024
18,2748
19,2604
20,2340
21,2035
22,1867
23,1742
24,1659
25,1515
26,1483
27,1361
28,1255
29,1164
30,1050
31,1086
32,997
33,973
34,894
35,870
36,785
37,749
38,716
39,714
40,670
41,667
42,601
43,597
44,591
45,512
46,513
47,461
48,452
49,445
50,430
51,414
52,388
53,335
54,364
55,298
56,307
57,303
58,292
59,278
60,258
61,270
62,235
63,254
64,246
65,259
66,235
67,198
68,194
69,213
70,169
71,194
72,169
73,160
74,180
75,148
76,161
77,153
78,153
79,124
80,139
81,137
82,142
83,118
84,126
85,111
86,121
87,133
88,124
89,122
90,111
91,109
92,91
93,117
94,121
95,98
96,104
97,105
98,91
99,116
100,95
101,83
102,93
103,78
104,104
105,87
106,77
107,69
108,81
109,85
110,78
111,66
112,63
113,67
114,76
115,70
116,64
117,59
118,65
119,55
120,73
121,67
122,39
123,49
124,49
125,46
126,67
127,60
128,59
129,42
130,52
131,57
132,48
133,54
134,45
135,53
136,50
137,50
138,39
139,47
140,44
141,42
142,53
143,44
144,40
145,45
146,47
147,44
148,44
149,41
150,42
151,47
152,25
153,43
154,30
155,38
156,36
157,34
158,39
159,31
160,42
161,42
162,36
163,34
164,35
165,33
166,36
167,32
168,30
169,24
170,33
171,34
172,33
173,31
174,22
175,32
176,30
177,21
178,31
179,31
180,34
181,28
182,32
183,26
184,32
185,22
186,27
187,21
188,23
189,26
190,29
191,23
192,25
193,27
194,23
195,16
196,29
197,18
198,21
199,17
200,21
201,15
202,24
203,23
204,14
205,25
206,23
207,19
208,28
209,24
210,24
211,18
212,8
213,13
214,11
215,18
216,19
217,20
218,22
219,21
220,16
221,15
222,14
223,18
224,14
225,22
226,18
227,13
228,26
229,15
230,21
231,19
232,10
233,15
234,18
235,13
236,16
237,13
238,18
239,10
240,12
241,11
242,10
243,20
244,9
245,21
246,12
247,15
248,21
249,20
250,16
251,13
252,12
253,16
254,12
255,13
256,11
257,14
258,9
259,11
260,18
261,8
262,9
263,10
264,12
265,19
266,12
267,13
268,9
269,10
270,10
271,8
272,14
273,20
274,8
275,11
276,14
277,6
278,5
279,11
280,6
281,7
282,8
283,6
284,10
285,8
286,11
287,7
288,13
289,10
290,12
291,8
