occurrences,num_states
1,6429755
2,313949
3,97430
4,37036
5,19009
6,11133
7,6938
8,4576
9,3223
10,2350
11,1678
12,1254
13,1024
14,803
15,641
16,446
17,411
18,304
19,282
20,236
21,184
22,158
23,156
24,135
25,112
26,83
27,86
28,71
29,66
30,44
31,44
32,45
33,41
34,34
35,33
36,27
37,30
38,24
39,18
40,20
41,17
42,14
43,6
44,16
45,17
46,16
47,9
48,17
49,14
50,13
51,5
52,5
53,12
54,9
55,10
56,8
57,11
58,7
59,7
60,7
61,6
62,4
63,6
64,4
65,1
66,9
67,7
68,5
69,1
70,2
71,2
72,7
73,3
74,3
75,1
76,2
77,4
78,4
79,5
80,5
81,3
82,3
83,3
85,4
86,3
87,2
88,3
89,3
90,1
91,1
92,3
93,3
94,1
95,2
96,1
97,1
98,2
99,3
101,1
104,1
107,1
108,2
111,1
112,1
113,1
114,1
115,1
118,2
119,2
121,1
122,1
123,2
124,1
125,1
129,1
132,2
133,1
136,1
138,3
141,2
143,1
145,1
147,2
154,1
155,1
156,1
157,1
158,1
166,1
167,1
169,1
172,1
175,1
179,1
192,1
206,1
212,1
215,2
217,1
220,1
227,1
230,1
237,1
240,1
245,1
250,1
253,1
259,1
260,1
279,1
289,1
291,1
295,1
324,1
339,1
345,1
378,1
420,1
426,1
441,1
457,1
498,1
536,1
591,1
640,1
1075,1
1617,1
2271,1
5043,1
6369,1
