occurrences,num_transitions
1,7331774
2,311481
3,107259
4,54798
5,32349
6,21688
7,15452
8,11976
9,9319
10,7633
11,6345
12,5372
13,4500
14,4094
15,3584
16,3231
17,2937
18,2614
19,2423
20,2062
21,1973
22,1869
23,1754
24,1525
25,1460
26,1364
27,1331
28,1204
29,1156
30,1099
31,1094
32,968
33,939
34,862
35,836
36,768
37,779
38,743
39,685
40,638
41,619
42,578
43,563
44,558
45,507
46,427
47,494
48,443
49,407
50,373
51,358
52,348
53,326
54,311
55,280
56,300
57,277
58,262
59,268
60,252
61,235
62,239
63,224
64,232
65,215
66,205
67,172
68,180
69,195
70,168
71,166
72,150
73,164
74,160
75,131
76,139
77,147
78,121
79,130
80,134
81,153
82,135
83,119
84,116
85,114
86,129
87,120
88,118
89,129
90,98
91,100
92,93
93,105
94,91
95,96
96,73
97,111
98,96
99,86
100,89
101,80
102,63
103,88
104,66
105,79
106,83
107,76
108,62
109,68
110,77
111,77
112,71
113,58
114,69
115,62
116,45
117,49
118,65
119,51
120,56
121,48
122,62
123,53
124,41
125,43
126,55
127,40
128,48
129,50
130,45
131,38
132,48
133,45
134,52
135,52
136,38
137,30
138,35
139,44
140,44
141,41
142,41
143,34
144,42
145,39
146,35
147,42
148,31
149,34
150,36
151,27
152,33
153,40
154,32
155,33
156,33
157,27
158,31
159,34
160,29
161,27
162,26
163,31
164,26
165,28
166,29
167,31
168,28
169,19
170,33
171,25
172,29
173,26
174,36
175,28
176,28
177,24
178,34
179,28
180,24
181,23
182,28
183,25
184,25
185,19
186,20
187,26
188,17
189,27
190,18
191,24
192,13
193,27
194,20
195,16
196,19
197,23
198,20
199,32
200,22
201,14
202,24
203,19
204,29
205,17
206,23
207,13
208,19
209,16
210,12
211,13
212,22
213,13
214,16
215,20
216,21
217,13
218,14
219,18
220,13
221,9
222,16
223,14
224,12
225,12
226,13
227,21
228,22
229,16
230,10
231,18
232,15
233,7
234,8
235,11
236,13
237,17
238,15
239,9
240,15
241,11
242,13
243,7
244,12
245,19
246,8
247,11
248,14
249,17
250,11
251,17
252,8
253,14
254,13
255,13
256,11
257,10
258,8
259,9
260,12
261,12
262,7
263,11
264,12
265,9
266,16
267,9
268,10
269,7
270,9
271,7
272,11
273,8
274,11
275,5
276,10
277,6
278,8
279,9
280,9
281,11
282,7
283,13
284,5
285,6
286,14
287,8
288,5
289,4
290,5
291,10
292,9
293,7
294,7
295,9
296,15
297,6
298,9
299,12
300,6
301,8
302,11
303,9
304,13
305,4
306,8
307,5
308,15
309,4
310,6
311,5
312,5
313,5
314,6
315,12
316,10
317,10
318,7
319,9
320,8
321,8
322,8
323,20
324,8
325,8
326,10
327,4
328,9
329,4
330,7
331,8
332,4
333,7
334,8
335,8
336,4
337,5
338,4
339,7
340,8
341,10
342,4
343,10
344,9
345,11
346,9
347,11
348,11
349,5
350,7
351,8
352,9
353,3
354,9
355,4
356,5
357,7
358,14
359,4
360,6
361,7
362,5
363,7
364,8
365,6
366,5
367,5
368,2
369,6
370,5
371,7
372,6
373,7
374,3
375,9
376,2
377,6
378,4
379,5
380,3
381,7
382,1
383,3
384,5
385,4
386,6
387,3
388,7
389,6
390,7
391,6
392,5
393,7
394,6
395,3
396,5
397,4
398,3
399,4
400,3
401,1
402,2
403,1
404,3
405,2
406,4
407,4
408,4
409,9
410,2
411,5
412,4
413,5
414,4
415,4
416,3
417,3
418,5
420,1
421,7
422,5
423,3
424,3
425,3
426,3
427,5
428,5
429,2
430,2
431,2
432,2
433,1
434,4
435,2
436,4
437,1
438,3
439,3
440,1
441,4
443,3
444,1
445,3
446,1
447,4
448,1
449,2
450,3
451,4
452,2
453,1
454,4
455,4
456,3
457,2
458,9
459,4
460,1
461,3
462,3
463,2
464,1
466,6
467,2
468,4
469,5
470,5
473,4
474,2
475,2
476,2
478,4
479,2
480,2
481,4
482,3
483,2
484,2
485,2
487,1
488,5
489,4
490,1
491,2
492,2
493,1
494,4
495,1
496,1
497,1
498,2
499,2
500,4
501,3
503,2
504,2
505,1
506,4
507,3
508,1
509,2
510,2
511,4
512,2
514,3
515,2
516,3
517,1
518,3
519,2
520,2
521,3
522,1
523,2
524,1
525,1
526,1
527,3
528,2
529,2
530,5
531,3
532,3
533,1
534,1
535,1
536,4
537,4
538,2
539,1
540,2
541,2
542,1
543,1
544,1
545,4
546,1
547,1
548,1
549,3
550,1
551,1
553,1
554,3
555,1
556,2
557,1
558,1
559,6
560,3
561,1
562,3
564,3
565,1
566,2
567,5
569,2
571,4
572,2
574,4
575,2
576,4
577,4
578,3
580,1
581,5
582,3
583,2
584,1
585,1
586,1
587,1
588,3
589,1
590,1
591,4
592,4
593,1
595,1
597,2
598,1
599,1
601,4
602,1
603,3
604,1
605,1
606,2
611,1
612,1
613,1
614,1
615,2
617,3
618,2
619,1
620,2
622,2
623,2
624,1
628,1
629,3
630,1
632,1
633,2
634,1
635,2
636,1
639,1
640,1
641,2
643,3
644,1
645,2
646,3
649,1
650,1
651,1
652,1
653,2
654,1
655,6
656,1
657,1
658,2
659,1
661,1
662,1
663,3
665,1
667,3
671,1
672,3
674,4
675,2
676,3
677,1
678,2
680,3
681,4
682,1
683,2
686,1
687,1
688,1
689,5
691,3
692,1
693,3
695,2
697,1
698,1
700,1
701,1
702,1
703,1
704,2
705,2
706,2
707,2
708,1
710,1
711,1
712,1
714,4
715,1
718,2
719,1
720,1
722,3
723,4
724,1
725,4
726,1
728,3
729,1
730,2
731,1
732,1
734,2
735,1
736,1
737,2
738,3
740,1
742,1
743,1
746,1
747,2
749,1
750,1
752,1
754,2
756,2
758,1
759,3
760,3
761,4
762,2
763,1
764,1
765,1
767,2
768,2
770,1
771,1
772,1
773,4
774,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
786,1
787,1
788,3
790,1
792,2
794,1
800,1
803,2
804,2
805,1
806,1
808,1
810,1
812,1
813,1
814,4
815,1
817,1
818,1
819,2
820,1
822,1
825,1
830,1
832,1
836,2
837,1
838,1
840,1
842,1
843,1
845,1
847,1
850,1
852,1
854,1
855,2
856,1
869,2
871,2
872,1
876,1
881,3
890,1
891,1
892,2
894,1
895,2
897,1
902,1
903,2
904,1
905,1
907,4
908,1
910,2
912,1
914,1
917,1
919,1
920,1
923,1
924,2
925,1
927,3
928,2
929,1
930,1
931,1
932,1
933,1
935,1
937,1
938,2
943,4
944,3
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,3
954,3
956,1
959,1
960,2
961,1
962,1
963,1
964,4
965,2
966,2
967,2
968,2
969,1
970,3
971,1
972,1
973,4
974,1
975,4
976,1
978,1
979,1
983,1
984,3
986,1
992,1
993,2
995,1
996,1
997,1
1001,1
1005,2
1006,3
1008,2
1009,1
1012,1
1013,1
1016,2
1017,1
1018,1
1019,2
1025,2
1027,2
1029,2
1030,1
1031,2
1032,1
1035,2
1037,1
1038,1
1040,2
1041,2
1043,1
1044,1
1045,1
1046,1
1047,2
1049,2
1051,2
1054,2
1056,2
1057,1
1059,1
1060,2
1061,2
1062,2
1063,1
1064,1
1070,1
1074,1
1077,1
1078,1
1080,2
1081,2
1085,1
1086,3
1087,1
1090,1
1093,2
1098,3
1099,2
1103,1
1105,1
1109,2
1110,1
1114,1
1115,1
1116,1
1119,2
1120,3
1121,1
1124,1
1125,1
1126,2
1128,1
1129,1
1130,2
1132,1
1134,2
1136,1
1137,1
1140,1
1141,1
1142,2
1144,1
1148,2
1151,1
1152,2
1153,1
1154,1
1156,1
1158,1
1159,1
1161,1
1162,1
1166,1
