Wall time,Step,Value
1771618763.0098038,4000,-1515.4288330078125
1771618791.6874049,8000,-1496.30810546875
1771618824.4745986,12000,-1505.627685546875
1771618849.6141126,16000,-1513.749755859375
1771618881.0749006,20000,-1506.238037109375
1771618908.7783313,24000,-1492.8828125
1771618936.4957068,28000,-1480.1566162109375
1771618965.434688,32000,-1502.802978515625
1771618994.5646367,36000,-1482.8450927734375
1771619024.851272,40000,-1482.64697265625
1771619052.8385262,44000,-1477.1224365234375
1771619083.2223928,48000,-1472.95556640625
1771619113.7374413,52000,-1440.7940673828125
1771619143.158733,56000,-1424.0340576171875
1771619173.6614232,60000,-1418.1910400390625
1771619202.9817746,64000,-1433.3548583984375
1771619232.194784,68000,-1433.179931640625
1771619261.8482258,72000,-1423.27978515625
1771619291.383692,76000,-1431.8428955078125
1771619320.881638,80000,-1436.4892578125
1771619352.7748225,84000,-1410.7132568359375
1771619379.7602386,88000,-1425.8643798828125
1771619409.3066466,92000,-1440.9764404296875
1771619441.4450314,96000,-1465.4041748046875
1771619470.849763,100000,-1471.8408203125
1771619500.4577649,104000,-1474.4825439453125
1771619531.5683753,108000,-1445.406982421875
1771619562.5238855,112000,-1430.108642578125
1771619591.1606884,116000,-1434.3916015625
1771619619.9691653,120000,-1458.1336669921875
1771619651.0276306,124000,-1432.3248291015625
1771619679.9149773,128000,-1433.7276611328125
1771619707.466937,132000,-1442.566650390625
1771619738.9223483,136000,-1407.1048583984375
1771619768.9914403,140000,-1383.560791015625
1771619798.9939556,144000,-1424.7989501953125
1771619829.1723645,148000,-1411.0001220703125
1771619857.9419446,152000,-1396.9112548828125
1771619889.305228,156000,-1429.7010498046875
1771619920.7857788,160000,-1411.6646728515625
1771619952.3642013,164000,-1372.7987060546875
1771619982.7803595,168000,-1381.1903076171875
1771620013.0113208,172000,-1385.8016357421875
1771620046.00929,176000,-1373.76513671875
1771620076.028163,180000,-1387.1287841796875
1771620105.4302676,184000,-1401.56201171875
1771620138.3409994,188000,-1389.275634765625
1771620168.9588478,192000,-1385.7467041015625
1771620200.6041338,196000,-1392.2142333984375
1771620231.1747413,200000,-1376.5062255859375
1771620262.018891,204000,-1357.0284423828125
1771620292.8612576,208000,-1373.0655517578125
1771620323.7431111,212000,-1368.16796875
1771620354.5806193,216000,-1351.4698486328125
1771620386.5618138,220000,-1363.642578125
1771620419.0580933,224000,-1350.4599609375
1771620450.2703805,228000,-1355.9656982421875
1771620481.0796711,232000,-1360.0882568359375
1771620512.196316,236000,-1350.73583984375
1771620544.361384,240000,-1346.042724609375
1771620575.840694,244000,-1352.595458984375
1771620605.7130735,248000,-1334.3165283203125
1771620638.086354,252000,-1361.15380859375
1771620671.6888704,256000,-1352.20361328125
1771620702.5366046,260000,-1345.6314697265625
1771620733.831025,264000,-1348.0904541015625
1771620765.0102265,268000,-1344.9228515625
1771620796.8015456,272000,-1331.7568359375
1771620826.9104617,276000,-1351.2685546875
1771620862.413926,280000,-1370.3731689453125
1771620893.8461368,284000,-1356.9588623046875
1771620926.0428238,288000,-1348.887939453125
1771620957.3895211,292000,-1334.918701171875
1771620990.375489,296000,-1330.41796875
1771621021.9186184,300000,-1313.6812744140625
1771621053.8157923,304000,-1331.3858642578125
1771621085.213662,308000,-1329.3668212890625
1771621116.1371398,312000,-1324.69677734375
1771621151.2539032,316000,-1314.125244140625
1771621182.017357,320000,-1317.4014892578125
1771621216.2651691,324000,-1297.912841796875
1771621248.2719355,328000,-1301.1708984375
1771621281.8738391,332000,-1300.6273193359375
1771621314.3543062,336000,-1308.3653564453125
1771621346.7788985,340000,-1294.76904296875
1771621381.121025,344000,-1320.5712890625
1771621416.0390878,348000,-1307.1927490234375
1771621448.5127115,352000,-1320.7220458984375
1771621480.826615,356000,-1330.2965087890625
1771621513.4041634,360000,-1337.438232421875
1771621545.9942524,364000,-1332.9510498046875
1771621578.5272665,368000,-1349.8841552734375
1771621612.1487737,372000,-1327.8521728515625
1771621646.7769027,376000,-1311.3804931640625
1771621678.8788903,380000,-1296.2724609375
1771621712.9662037,384000,-1282.954345703125
1771621744.0224624,388000,-1259.0543212890625
1771621776.6914551,392000,-1285.1129150390625
1771621809.7995982,396000,-1289.548095703125
1771621842.969887,400000,-1278.7872314453125
1771621876.7401886,404000,-1297.545654296875
1771621909.488744,408000,-1328.634765625
1771621943.1825273,412000,-1321.6363525390625
1771621976.2288196,416000,-1327.712158203125
1771622009.5670326,420000,-1307.5986328125
1771622043.4406126,424000,-1294.1185302734375
1771622078.1488342,428000,-1275.3787841796875
1771622111.023052,432000,-1263.8973388671875
1771622146.053111,436000,-1254.3187255859375
1771622178.6667905,440000,-1273.6285400390625
1771622211.6631198,444000,-1266.667724609375
1771622244.6368587,448000,-1248.0108642578125
1771622280.214796,452000,-1250.922119140625
1771622316.1240573,456000,-1272.675048828125
1771622349.3440857,460000,-1242.28564453125
1771622382.0883942,464000,-1245.039794921875
1771622413.6953676,468000,-1238.4700927734375
1771622448.9213245,472000,-1228.191650390625
1771622482.8077734,476000,-1216.516357421875
1771622515.2317593,480000,-1213.2496337890625
1771622547.9450076,484000,-1223.962890625
1771622582.3824358,488000,-1206.591552734375
1771622616.5739603,492000,-1218.5552978515625
1771622650.1535907,496000,-1216.3743896484375
1771622682.4026775,500000,-1224.3277587890625
1771622718.264801,504000,-1237.514404296875
1771622752.7082705,508000,-1238.2099609375
1771622785.9045823,512000,-1264.0255126953125
1771622820.519193,516000,-1243.6888427734375
1771622854.200795,520000,-1254.7655029296875
1771622887.3906257,524000,-1245.304443359375
1771622922.3118944,528000,-1254.015380859375
1771622957.0041049,532000,-1228.3028564453125
1771622991.901265,536000,-1237.6859130859375
1771623026.598377,540000,-1238.49853515625
1771623060.22889,544000,-1205.9443359375
1771623095.3948693,548000,-1200.712158203125
1771623129.1024354,552000,-1233.5035400390625
1771623163.8310382,556000,-1237.3388671875
1771623197.5487914,560000,-1240.2158203125
1771623232.6441524,564000,-1259.8868408203125
1771623266.48658,568000,-1266.622802734375
1771623301.8862429,572000,-1240.2176513671875
1771623338.2040262,576000,-1243.60546875
1771623371.4305396,580000,-1239.441650390625
1771623405.224043,584000,-1243.4598388671875
1771623439.2238896,588000,-1238.6595458984375
1771623474.5036843,592000,-1254.8826904296875
1771623510.0233195,596000,-1225.9952392578125
1771623544.8952446,600000,-1222.8521728515625
1771623578.7921078,604000,-1215.8736572265625
1771623612.7243004,608000,-1207.85107421875
1771623647.2146611,612000,-1231.1148681640625
1771623682.6772857,616000,-1251.7122802734375
1771623717.733794,620000,-1236.96875
1771623751.580984,624000,-1262.0987548828125
1771623786.509945,628000,-1285.737548828125
1771623821.3466816,632000,-1259.3724365234375
1771623856.6838105,636000,-1271.6754150390625
1771623892.317886,640000,-1265.020751953125
1771623926.5285895,644000,-1217.4610595703125
1771623964.7577527,648000,-1195.43505859375
1771623999.4609563,652000,-1183.8349609375
1771624033.5087852,656000,-1183.3663330078125
1771624069.0035257,660000,-1192.634521484375
1771624104.6278741,664000,-1216.8223876953125
1771624139.4157593,668000,-1224.1715087890625
1771624176.5553858,672000,-1200.5440673828125
1771624212.059094,676000,-1202.9417724609375
1771624246.8736215,680000,-1194.358642578125
1771624281.21177,684000,-1189.048828125
1771624318.1921616,688000,-1196.431640625
1771624354.3344715,692000,-1199.3873291015625
1771624390.0521286,696000,-1170.3916015625
1771624424.784657,700000,-1187.90234375
1771624460.618821,704000,-1192.8514404296875
1771624496.6848764,708000,-1198.5908203125
1771624531.7352183,712000,-1210.169921875
1771624567.8074908,716000,-1236.1650390625
1771624604.9200628,720000,-1243.421142578125
1771624639.6985219,724000,-1227.0672607421875
1771624675.7268448,728000,-1201.649658203125
1771624710.6245008,732000,-1212.0655517578125
1771624746.947723,736000,-1215.4659423828125
1771624783.4426,740000,-1185.796142578125
1771624818.5461576,744000,-1183.379638671875
1771624854.8396504,748000,-1189.6912841796875
1771624892.5232434,752000,-1201.6845703125
1771624927.7333887,756000,-1205.511962890625
