Metric,On-DDQN,Off-DDQN 4e6,BCQ 4e6,Off-DDQN 4e6-Clean,BCQ 4e6-Clean,Off-DDQN 4e6-Clean-Shuffle,BCQ 4e6-Clean-Shuffle,Off-DDQN 4e6-Shuffle,BCQ 4e6-Shuffle,Off-DDQN 8e6-Clean,BCQ 8e6-Clean
avg_episode_length,179.86,180.22,179.64,181.26,181.57,182.57,182.52,180.66,181.83,181.05,181.05
min_episode_length,161.0,161.0,161.0,162.0,166.0,166.0,162.0,162.0,161.0,166.0,162.0
max_episode_length,220.0,220.0,237.0,225.0,230.0,235.0,227.0,224.0,214.0,239.0,233.0
avg_vehicle_speed,27.66,27.6,27.7,27.44,27.4,27.25,27.26,27.53,27.36,27.48,27.47
min_vehicle_speed,22.47,22.47,20.9,22.0,21.56,21.03,21.82,22.09,23.16,20.77,21.28
max_vehicle_speed,30.88,30.88,30.85,30.57,29.92,29.86,30.67,30.57,30.85,29.86,30.69
avg_episode_total_reward,-22.72,-32.72,-36.1,-23.55,-25.63,-30.58,-38.32,-63.06,-76.75,-24.72,-25.18
min_episode_total_reward,-168.81,-135.0,-254.3,-120.82,-135.17,-165.43,-195.25,-245.59,-276.55,-208.89,-94.93
max_episode_total_reward,8.35,8.35,2.52,2.99,1.05,2.99,3.21,0.64,-3.31,2.99,2.99
total_nb_lc,234.0,342.0,413.0,401.0,397.0,425.0,652.0,844.0,1144.0,283.0,347.0
avg_episode_nb_lc,4.03,5.9,7.12,6.91,6.84,7.33,11.24,14.55,19.72,4.88,5.98
total_nb_min_gap_violation,10.0,11.0,12.0,3.0,4.0,14.0,18.0,25.0,31.0,10.0,14.0
total_nb_invalide_lc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_nb_vehicle_collision,6.0,15.0,18.0,4.0,6.0,7.0,10.0,36.0,43.0,6.0,4.0
