Metric,On-DDQN,Off-DDQN-4e6,BCQ-4e6,Off-DDQN-4e6-Clean,BCQ-4e6-Clean,Off-DDQN-4e6-Clean-Shuffle,BCQ-4e6-Clean-Shuffle,Off-DDQN-4e6-Shuffle,BCQ-4e6-Shuffle,Off-DDQN-8e6-Clean,BCQ-8e6-Clean
avg_episode_length,177.75,180.12,177.62,179.88,178.38,183.0,179.75,179.38,180.88,180.88,180.25
min_episode_length,166.0,166.0,168.0,168.0,166.0,170.0,168.0,162.0,168.0,167.0,167.0
max_episode_length,194.0,198.0,193.0,193.0,193.0,194.0,196.0,195.0,197.0,195.0,194.0
avg_vehicle_speed,27.94,27.61,27.92,27.6,27.83,27.18,27.67,27.72,27.46,27.46,27.55
min_vehicle_speed,25.5,25.09,25.62,25.62,25.61,25.56,25.24,25.46,25.12,25.39,25.59
max_vehicle_speed,29.89,29.89,29.44,29.57,29.76,29.21,29.63,30.57,29.43,29.68,29.61
avg_episode_total_reward,-13.06,-30.04,-25.32,-21.68,-15.27,-31.61,-27.64,-72.84,-72.89,-18.51,-18.63
min_episode_total_reward,-28.09,-77.33,-55.0,-48.04,-26.2,-74.13,-81.92,-170.24,-206.38,-34.35,-37.93
max_episode_total_reward,3.14,-1.0,-6.38,-2.72,-1.49,-10.65,-2.38,-6.52,-19.34,-2.02,-2.37
total_nb_lc,34.0,87.0,83.0,70.0,46.0,49.0,87.0,131.0,169.0,37.0,43.0
avg_episode_nb_lc,4.25,10.88,10.38,8.75,5.75,6.12,10.88,16.38,21.12,4.62,5.38
total_nb_min_gap_violation,0.0,1.0,0.0,1.0,0.0,3.0,0.0,5.0,5.0,1.0,1.0
total_nb_invalide_lc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_nb_vehicle_collision,0.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,5.0,0.0,0.0
